source,question,answer
customs,申报要素缺失会有什么风险？,申报要素缺失可能导致海关退单、查验、补充申报或通关延误；涉及品名、HS 编码、数量、原产地等关键信息时，应先补齐资料再提交申报。
sanction,交易对手命中制裁名单怎么办？,应立即暂停交易推进，保留筛查记录，提交贸易合规团队复核；在复核结论出来前，不应继续发货、收款或签署新增承诺。
payment,信用证不符点如何处理？,应先核对信用证条款、商业发票、装箱单、提单和保险单；发现不符点后，应与客户、银行和单证团队确认是否修改单据、修改信用证或接受不符点交单。
logistics,FOB 条件下货物装船后的风险由谁承担？,FOB 通常以货物装上船作为风险转移节点；装船后运输风险一般由买方承担，但仍应以合同约定和实际贸易条款为准。
documentation,商业发票和装箱单信息不一致怎么办？,应在交单或报关前核对并修正不一致信息，重点确认品名、数量、金额、币种、毛净重、箱数和合同号，避免清关、收款或客户收货异常。
documentation,那商业发票和装箱单不一致呢？,商业发票和装箱单不一致时应先暂停交单或报关，核对并修正品名、数量、金额、币种、毛净重、箱数和合同号，形成一致版本后再提交。
customs,HS 编码归类存在争议时能先按客户说法申报吗？,HS 编码归类存在争议时不应直接按客户说法申报，应核对商品材质、用途、技术参数、历史归类和海关口径，必要时提交归类复核或补充说明。
sanction,最终用途不清楚可以继续发货吗？,最终用途、最终用户或收货方关系不清楚时，应暂停发货并补充尽调材料；在贸易合规复核完成前，不应继续出货或签署新增承诺。
payment,信用证软条款有什么风险？,信用证软条款可能导致交单后无法满足付款条件，应在接证后识别客户确认、第三方证明、模糊验收等条款，并推动修改信用证或补充风险确认。
logistics,DDP 条件下目的国清关责任怎么确认？,DDP 条件下卖方通常承担目的国清关、税费和交付责任，但仍应以合同、当地法规和物流服务能力为准，签约前应确认税号、进口资质和费用承担边界。
documentation,提单、发票和箱单版本不一致如何处理？,提单、发票和箱单版本不一致时，应暂停交单，核对合同号、品名、数量、金额、箱数、毛净重和装运信息，形成一致版本后再报关或交单。
