source,question,answer
drawing,图纸变更后旧版本还能作为施工依据吗？,图纸变更发布并完成确认后，应以最新有效版本作为施工依据；旧版本只能用于追溯，不应继续指导施工，现场应同步更新图纸目录、变更单和技术交底记录。
specification,施工规范和图纸冲突时以哪个为准？,施工规范和图纸冲突时不能自行判断，应提交技术负责人、设计单位或监理确认；涉及强制性标准时必须满足规范要求，并保留技术核定或设计变更记录。
schedule,进度计划延期需要记录哪些资料？,进度计划延期应记录延期原因、影响范围、责任单位、调整后的节点计划、会议纪要、签认记录和整改措施，避免后续工期索赔或责任争议。
quality,隐蔽工程验收需要哪些资料？,隐蔽工程验收通常需要报验申请、隐蔽验收记录、施工照片、检验批资料、试验报告、测量记录和监理签认，验收通过前不应进行下一道工序覆盖。
quality,那隐蔽工程验收资料呢？,隐蔽工程验收通常需要报验申请、隐蔽验收记录、施工照片、检验批资料、试验报告、测量记录、材料合格证明和监理签认，验收通过前不应进行下一道工序覆盖。
safety,高处作业前必须做哪些安全资料？,高处作业前应完成安全技术交底、作业人员资格确认、危险源辨识、防护措施检查、专项方案或审批记录，并保留现场检查和交底签字资料。
drawing,图纸会审发现问题后如何闭环？,图纸会审发现问题后应形成问题清单、责任单位、回复意见、设计确认和交底记录；未闭环的问题不应直接作为施工依据。
specification,强制性条文和项目做法冲突怎么办？,强制性条文和项目做法冲突时必须优先满足强制性要求，并提交技术负责人、设计单位和监理确认，形成技术核定或设计变更记录。
schedule,关键线路节点延误如何做风险预警？,关键线路节点延误时应记录延误原因、影响工序、责任单位、赶工措施和调整计划，并同步建设单位、监理和项目负责人。
quality,检验批资料和现场实物不一致怎么办？,检验批资料和现场实物不一致时应暂停验收结论，核对施工记录、材料证明、测量数据和整改闭环，必要时重新报验。
safety,安全技术交底只有口头说明可以吗？,安全技术交底不应只有口头说明，应保留交底内容、作业风险、防护措施、交底人、接受人签字和日期记录。
